07:06 tunnel down, reconnecting
07:36 tunnel down, reconnecting
08:11 tunnel down, reconnecting
08:44 tunnel down, reconnecting
09:17 tunnel down, reconnecting
09:50 tunnel down, reconnecting
10:24 tunnel down, reconnecting
10:40 tunnel down, reconnecting
11:13 tunnel down, reconnecting
11:47 tunnel down, reconnecting
12:20 tunnel down, reconnecting
12:48 tunnel down, reconnecting
13:08 tunnel down, reconnecting
13:41 tunnel down, reconnecting
14:15 tunnel down, reconnecting
14:48 tunnel down, reconnecting
14:55 tunnel down, reconnecting
15:28 tunnel down, reconnecting
15:32 tunnel down, reconnecting
16:05 tunnel down, reconnecting
16:38 tunnel down, reconnecting
17:11 tunnel down, reconnecting
